"GO","BackgroundGenes","UpGenes","GeneRatio","pvalue","padj","TERM.x","TERM.y"
"GO:0051301",333,186,0.0467219291635268,6.38117400380285e-19,7.04545421759873e-15,"cell division","cell division"
"GO:0006364",115,82,0.0205978397387591,1.4956103341673e-17,8.25651684977056e-14,"rRNA processing","rRNA processing"
"GO:0032981",52,43,0.0108013062044712,1.15186981024966e-13,4.23926485832215e-10,"mitochondrial respiratory chain complex I assembly","mitochondrial respiratory chain complex I assembly"
"GO:0032543",37,33,0.00828937452901281,1.10689338878295e-12,3.05530247638814e-09,"mitochondrial translation","mitochondrial translation"
"GO:0000398",172,100,0.0251193167545843,3.50014634087591e-12,7.72902314992219e-09,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome"
"GO:0006260",92,62,0.0155739763878423,7.16938962268713e-12,1.31928718040148e-08,"DNA replication","DNA replication"
"GO:0006281",232,125,0.0313991459432303,1.14274233208004e-11,1.80243115549939e-08,"DNA repair","DNA repair"
"GO:0006457",116,73,0.0183371012308465,1.61438792280828e-11,2.22805713196578e-08,"protein folding","protein folding"
"GO:0000387",25,24,0.00602863602110023,3.30939901605491e-11,4.0598971706958e-08,"spliceosomal snRNP assembly","spliceosomal snRNP assembly"
"GO:0006120",36,30,0.00753579502637528,4.55768343991374e-10,5.03213828600876e-07,"mitochondrial electron transport, NADH to ubiquinone","mitochondrial electron transport, NADH to ubiquinone"
"GO:1904874",15,15,0.00376789751318764,4.81223037657643e-08,4.83016687161639e-05,"positive regulation of telomerase RNA localization to Cajal body","positive regulation of telomerase RNA localization to Cajal body"
"GO:0008380",151,79,0.0198442602361216,3.54180191074524e-07,0.000325875290804485,"RNA splicing","RNA splicing"
"GO:0000278",114,63,0.0158251695553881,4.3852975845096e-07,0.000345843361646932,"mitotic cell cycle","mitotic cell cycle"
"GO:0007007",19,17,0.00427028384827933,4.17442563514784e-07,0.000345843361646932,"inner mitochondrial membrane organization","inner mitochondrial membrane organization"
"GO:0000462",26,21,0.0052750565184627,5.83030038045286e-07,0.000429148976670533,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0007004",21,18,0.00452147701582517,7.2876653488978e-07,0.000502894456982379,"telomere maintenance via telomerase","telomere maintenance via telomerase"
"GO:0007059",73,44,0.0110524993720171,1.00000042932397e-06,0.000649470867068587,"chromosome segregation","chromosome segregation"
"GO:0006270",23,19,0.00477267018337101,1.08700565037106e-06,0.000666757188097046,"DNA replication initiation","DNA replication initiation"
"GO:0006413",48,32,0.00803818136146697,1.29601861981026e-06,0.000753123241122374,"translational initiation","translational initiation"
"GO:0070131",15,14,0.0035167043456418,1.54856287668923e-06,0.000854884136076288,"positive regulation of mitochondrial translation","positive regulation of mitochondrial translation"
"GO:0032508",66,40,0.0100477267018337,2.53542132712757e-06,0.00133302794632455,"DNA duplex unwinding","DNA duplex unwinding"
"GO:0006400",22,18,0.00452147701582517,2.78010238642713e-06,0.00136508150818559,"tRNA modification","tRNA modification"
"GO:0007049",273,125,0.0313991459432303,2.84366223061938e-06,0.00136508150818559,"cell cycle","cell cycle"
"GO:0000463",14,13,0.00326551117809596,4.45843947837869e-06,0.00205106792836579,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0006302",65,39,0.00979653353428787,4.78964582610454e-06,0.00207750567108253,"double-strand break repair","double-strand break repair"
"GO:0030150",19,16,0.00401909068073348,5.08039607999533e-06,0.00207750567108253,"protein import into mitochondrial matrix","protein import into mitochondrial matrix"
"GO:0042273",28,21,0.0052750565184627,5.02403240635625e-06,0.00207750567108253,"ribosomal large subunit biogenesis","ribosomal large subunit biogenesis"
"GO:0000070",32,23,0.00577744285355438,5.90503248018571e-06,0.00232848084334751,"mitotic sister chromatid segregation","mitotic sister chromatid segregation"
"GO:0000460",13,12,0.00301431801055011,1.27728439374658e-05,0.00473211305214032,"maturation of 5.8S rRNA","maturation of 5.8S rRNA"
"GO:0006418",18,15,0.00376789751318764,1.32417095256198e-05,0.00473211305214032,"tRNA aminoacylation for protein translation","tRNA aminoacylation for protein translation"
"GO:1904851",10,10,0.00251193167545843,1.32864328064804e-05,0.00473211305214032,"positive regulation of establishment of protein localization to telomere","positive regulation of establishment of protein localization to telomere"
"GO:0000079",44,28,0.0070334086912836,2.2508000517702e-05,0.00776596355362337,"regulation of cyclin-dependent protein serine/threonine kinase activity","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0006412",182,86,0.0216026124089425,2.32606084660924e-05,0.00777689069384856,"translation","translation"
"GO:0007005",66,38,0.00954534036674203,2.40441318485415e-05,0.00777689069384856,"mitochondrion organization","mitochondrion organization"
"GO:0042254",24,18,0.00452147701582517,2.4652764630441e-05,0.00777689069384856,"ribosome biogenesis","ribosome biogenesis"
"GO:0010498",32,22,0.00552624968600854,2.92225455798568e-05,0.00872016556073509,"proteasomal protein catabolic process","proteasomal protein catabolic process"
"GO:0036297",34,23,0.00577744285355438,2.88131625515599e-05,0.00872016556073509,"interstrand cross-link repair","interstrand cross-link repair"
"GO:0000082",60,35,0.0087917608641045,3.4167642565958e-05,0.00992749846238795,"G1/S transition of mitotic cell cycle","G1/S transition of mitotic cell cycle"
"GO:0006397",149,72,0.0180859080633007,4.20765912637281e-05,0.011911990875457,"mRNA processing","mRNA processing"
"GO:0000723",37,24,0.00602863602110023,5.5120081041428e-05,0.0152145203694602,"telomere maintenance","telomere maintenance"
"GO:0007595",33,22,0.00552624968600854,6.07179187473663e-05,0.0163508912412115,"lactation","lactation"
"GO:0071577",14,12,0.00301431801055011,6.26592706919881e-05,0.0164719287550057,"zinc ion transmembrane transport","zinc ion transmembrane transport"
"GO:1904871",11,10,0.00251193167545843,0.000102964688452087,0.0264379796558021,"positive regulation of protein localization to Cajal body","positive regulation of protein localization to Cajal body"
"GO:0006913",18,14,0.0035167043456418,0.000107432668554132,0.026958274852413,"nucleocytoplasmic transport","nucleocytoplasmic transport"
"GO:0000724",72,39,0.00979653353428787,0.000120085987437716,0.029194908541036,"double-strand break repair via homologous recombination","double-strand break repair via homologous recombination"
"GO:0006271",8,8,0.00200954534036674,0.000125694529377769,0.029194908541036,"DNA strand elongation involved in DNA replication","DNA strand elongation involved in DNA replication"
"GO:0006310",56,32,0.00803818136146697,0.000126922888322591,0.029194908541036,"DNA recombination","DNA recombination"
"GO:0045454",32,21,0.0052750565184627,0.000126213978857075,0.029194908541036,"cell redox homeostasis","cell redox homeostasis"
"GO:0006099",28,19,0.00477267018337101,0.000136337101169338,0.0297558751966794,"tricarboxylic acid cycle","tricarboxylic acid cycle"
"GO:0033617",22,16,0.00401909068073348,0.000132062225188922,0.0297558751966794,"mitochondrial cytochrome c oxidase assembly","mitochondrial cytochrome c oxidase assembly"
"GO:0051028",70,38,0.00954534036674203,0.000137446756184281,0.0297558751966794,"mRNA transport","mRNA transport"
"GO:0000470",13,11,0.00276312484300427,0.000166252142773671,0.0333743619702565,"maturation of LSU-rRNA","maturation of LSU-rRNA"
"GO:0015986",13,11,0.00276312484300427,0.000166252142773671,0.0333743619702565,"ATP synthesis coupled proton transport","ATP synthesis coupled proton transport"
"GO:0042776",13,11,0.00276312484300427,0.000166252142773671,0.0333743619702565,"mitochondrial ATP synthesis coupled proton transport","mitochondrial ATP synthesis coupled proton transport"
"GO:0106074",13,11,0.00276312484300427,0.000166252142773671,0.0333743619702565,"aminoacyl-tRNA metabolism involved in translational fidelity","aminoacyl-tRNA metabolism involved in translational fidelity"
"GO:0006268",15,12,0.00301431801055011,0.0002198058039025,0.0425767698401316,"DNA unwinding involved in DNA replication","DNA unwinding involved in DNA replication"
"GO:0045190",15,12,0.00301431801055011,0.0002198058039025,0.0425767698401316,"isotype switching","isotype switching"
"GO:0006289",33,21,0.0052750565184627,0.000240832084049063,0.0458452937928569,"nucleotide-excision repair","nucleotide-excision repair"
"GO:0006401",17,13,0.00326551117809596,0.000259601496684481,0.0477710020815559,"RNA catabolic process","RNA catabolic process"
"GO:0051131",17,13,0.00326551117809596,0.000259601496684481,0.0477710020815559,"chaperone-mediated protein complex assembly","chaperone-mediated protein complex assembly"
"GO:0006915",452,182,0.0457171564933434,0.000271572719854862,0.0483618451599602,"apoptotic process","apoptotic process"
"GO:0090305",60,33,0.00828937452901281,0.000268943246011214,0.0483618451599602,"nucleic acid phosphodiester bond hydrolysis","nucleic acid phosphodiester bond hydrolysis"
"GO:0007052",51,29,0.00728460185882944,0.000292457349549429,0.0496772553288499,"mitotic spindle organization","mitotic spindle organization"
"GO:0048025",19,14,0.0035167043456418,0.00028547356265491,0.0496772553288499,"negative regulation of mRNA splicing, via spliceosome","negative regulation of mRNA splicing, via spliceosome"
"GO:2000234",10,9,0.00226073850791258,0.00028911705949892,0.0496772553288499,"positive regulation of rRNA processing","positive regulation of rRNA processing"
"GO:0000375",25,17,0.00427028384827933,0.000298428007273865,0.0499233883077386,"RNA splicing, via transesterification reactions","RNA splicing, via transesterification reactions"
